figure,request,tenants,flows,run,main_install_instructions,guarded_instructions,cycles_to_publication,cycles_to_main_ready,cycles_to_completion,request_start_cycle,configuration_finish_cycle,main_bank_replay_cycles,total_bank_replay_cycles,main_mapper_write_instructions,guard_drain_instructions,global_stop_cycles,hardware_stop_cycles,peak_stop_buffer_packets,pre_t1_backlog_packets,pre_t1_waiting_at_input,pre_t1_utilization,measured_pre_t1_offered_load,measured_post_t1_offered_load,untouched_flow,peak_added_delay_cycles,completed_packets,drops,reorderings,trace_sha256,peak_stop_buffer_packets_from_csv
bank-replay,add,16,32,prefill,565,351,683,1054,1577,2000,3577,371,536,369,49,683,666,321,75,1,0.9885,1.101,1.099875,Tenant_02_A,699,3667,0,0,cf1d42b02abbad5ebd1c3c0f4e702674d28ffe1fb1240c0e2c7bde9d2a1ab839,321
bank-replay,add,16,32,reset,362,1,384,588,1047,2000,3047,204,205,203,0,1042,0,453,75,1,0.9885,1.101,1.099875,Tenant_02_A,1047,3667,0,0,cf1d42b02abbad5ebd1c3c0f4e702674d28ffe1fb1240c0e2c7bde9d2a1ab839,453
bank-replay,add,16,32,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.099875,Tenant_02_A,0,3667,0,0,cf1d42b02abbad5ebd1c3c0f4e702674d28ffe1fb1240c0e2c7bde9d2a1ab839,0
bank-replay,add,32,64,rio,21,0,33,45,45,2000,2045,12,12,12,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,24,3668,0,0,e1d7c64fc614d744ca0aa3f99800ca3af646405cd268b46253f1e8a99d600bf2,0
bank-replay,add,32,64,prefill,1099,687,1217,1940,2959,2000,4959,723,1048,721,97,1217,1200,517,75,1,0.9885,1.101,1.10025,Tenant_02_A,1242,3668,0,0,e1d7c64fc614d744ca0aa3f99800ca3af646405cd268b46253f1e8a99d600bf2,517
bank-replay,add,32,64,reset,704,1,726,1122,1206,2000,3206,396,397,395,0,1201,0,511,75,1,0.9885,1.101,1.10025,Tenant_02_A,1221,3668,0,0,e1d7c64fc614d744ca0aa3f99800ca3af646405cd268b46253f1e8a99d600bf2,511
bank-replay,add,32,64,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,e1d7c64fc614d744ca0aa3f99800ca3af646405cd268b46253f1e8a99d600bf2,0
bank-replay,reweight,2,4,rio,2,0,13,14,14,2000,2014,1,1,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,3,3668,0,0,9da43519703d2a13adc9afb7a871d63b60ebb7ba75f49a6c37942b5bf1572ded,0
bank-replay,reweight,2,4,prefill,73,51,191,238,488,2000,2488,47,68,45,7,191,174,141,75,1,0.9885,1.101,1.10025,Tenant_02_A,432,3668,0,0,9da43519703d2a13adc9afb7a871d63b60ebb7ba75f49a6c37942b5bf1572ded,141
bank-replay,reweight,2,4,reset,44,1,66,91,1046,2000,3046,25,25,24,0,1042,0,453,75,1,0.9885,1.101,1.10025,Tenant_02_A,1986,3668,0,0,9da43519703d2a13adc9afb7a871d63b60ebb7ba75f49a6c37942b5bf1572ded,453
bank-replay,reweight,2,4,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,9da43519703d2a13adc9afb7a871d63b60ebb7ba75f49a6c37942b5bf1572ded,0
bank-replay,reweight,4,8,rio,2,0,13,14,14,2000,2014,1,1,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,5ee4441d3af5f232ee4af7890767d47b50b4ebe753e19e8fb86bb431c3b050f4,0
bank-replay,reweight,4,8,prefill,139,93,257,348,613,2000,2613,91,133,89,13,257,240,165,75,1,0.9885,1.101,1.10025,Tenant_02_A,357,3668,0,0,5ee4441d3af5f232ee4af7890767d47b50b4ebe753e19e8fb86bb431c3b050f4,165
bank-replay,reweight,4,8,reset,86,1,108,157,1046,2000,3046,49,49,48,0,1042,0,453,75,1,0.9885,1.101,1.10025,Tenant_02_A,1413,3668,0,0,5ee4441d3af5f232ee4af7890767d47b50b4ebe753e19e8fb86bb431c3b050f4,453
bank-replay,reweight,4,8,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,5ee4441d3af5f232ee4af7890767d47b50b4ebe753e19e8fb86bb431c3b050f4,0
bank-replay,reweight,8,16,rio,2,0,13,14,14,2000,2014,1,1,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,6,3668,0,0,9fda8756996d25726469d906af82b9b468c75d16c79cfbd5f3a818ea4c7439ad,0
bank-replay,reweight,8,16,prefill,273,177,390,569,869,2000,2869,179,261,177,25,390,374,214,75,1,0.9885,1.101,1.10025,Tenant_02_A,460,3668,0,0,9fda8756996d25726469d906af82b9b468c75d16c79cfbd5f3a818ea4c7439ad,214
bank-replay,reweight,8,16,reset,172,1,193,290,1046,2000,3046,97,98,96,0,1041,0,452,75,1,0.9885,1.101,1.10025,Tenant_02_A,1188,3668,0,0,9fda8756996d25726469d906af82b9b468c75d16c79cfbd5f3a818ea4c7439ad,452
bank-replay,reweight,8,16,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,9fda8756996d25726469d906af82b9b468c75d16c79cfbd5f3a818ea4c7439ad,0
bank-replay,reweight,16,32,rio,2,0,13,14,14,2000,2014,1,1,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,9,3668,0,0,577580deeffe1c09ffac6787ebc0beae8d12f00898fbefb82a256203175ae4b1,0
bank-replay,reweight,16,32,prefill,539,345,657,1012,1525,2000,3525,355,516,353,49,657,640,312,75,1,0.9885,1.101,1.10025,Tenant_02_A,715,3668,0,0,577580deeffe1c09ffac6787ebc0beae8d12f00898fbefb82a256203175ae4b1,312
bank-replay,reweight,16,32,reset,342,1,364,557,1047,2000,3047,193,193,192,0,1043,0,453,75,1,0.9885,1.101,1.10025,Tenant_02_A,1108,3668,0,0,577580deeffe1c09ffac6787ebc0beae8d12f00898fbefb82a256203175ae4b1,453
bank-replay,reweight,16,32,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,577580deeffe1c09ffac6787ebc0beae8d12f00898fbefb82a256203175ae4b1,0
bank-replay,reweight,32,64,rio,2,0,13,14,14,2000,2014,1,1,0,0,0,0,0,75,1,0.9885,1.101,1.099875,Tenant_02_A,3,3667,0,0,79a1aec0685f926558b57979ecff74d8864e3bcad1f6cb60da18736f15055b55,0
bank-replay,reweight,32,64,prefill,1073,681,1191,1898,2907,2000,4907,707,1028,705,97,1191,1174,507,75,1,0.9885,1.101,1.099875,Tenant_02_A,1198,3667,0,0,79a1aec0685f926558b57979ecff74d8864e3bcad1f6cb60da18736f15055b55,507
bank-replay,reweight,32,64,reset,684,1,706,1091,1173,2000,3173,385,385,384,0,1169,0,499,75,1,0.9885,1.101,1.099875,Tenant_02_A,1177,3667,0,0,79a1aec0685f926558b57979ecff74d8864e3bcad1f6cb60da18736f15055b55,499
bank-replay,reweight,32,64,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.099875,Tenant_02_A,0,3667,0,0,79a1aec0685f926558b57979ecff74d8864e3bcad1f6cb60da18736f15055b55,0
